src_iata,dst_iata,src_city,dst_city,distance_km,seats,load_factor,pax_onboard,avg_fare_inr,ancillary_inr,revenue_per_flight,fuel_liters_per_flight,fuel_cost_inr,fixed_cost_inr,total_cost_inr,margin_per_flight,margin_per_pax,fuel_cost_inr_shock,total_cost_inr_shock,margin_post_shock,margin_with_udan
BDQ,BOM,Baroda,Mumbai,363.0,78,0.72,56,3000.0,400.0,190400.0,849.42,35126.05185699831,250000.0,285126.0518569983,-94726.0518569983,-1691.536640303541,43907.564821247885,293907.5648212479,-103507.56482124788,-102674.23148791456
BDQ,DEL,Baroda,Delhi,794.5,78,0.72,56,3000.0,400.0,190400.0,1859.13,76880.57355478006,250000.0,326880.57355478004,-136480.57355478004,-2437.1530991925006,96100.71694347507,346100.71694347507,-155700.71694347507,-154867.38361014173
BLR,AMD,Bangalore,Ahmedabad,1221.9,78,0.72,56,3000.0,400.0,190400.0,2859.25,118238.52013388244,250000.0,368238.5201338824,-177838.5201338824,-3175.6878595336143,147798.15016735304,397798.15016735304,-207398.15016735304,-206564.8168340197
BLR,BBI,Bangalore,Bhubaneswar,1165.7,78,0.72,56,3000.0,400.0,190400.0,2727.74,112800.18917897927,250000.0,362800.18917897926,-172400.18917897926,-3078.5748067674867,141000.23647372407,391000.2364737241,-200600.23647372407,-199766.90314039073
BLR,BOM,Bangalore,Mumbai,834.2,78,0.72,56,3000.0,400.0,190400.0,1952.03,80722.26578891058,250000.0,330722.26578891056,-140322.26578891056,-2505.7547462305456,100902.83223613822,350902.83223613823,-160502.83223613823,-159669.4989028049
BLR,CCU,Bangalore,Kolkata,1546.8,78,0.72,56,3000.0,400.0,190400.0,3619.51,149677.53991773678,250000.0,399677.5399177368,-209277.53991773678,-3737.0989271024423,187096.92489717097,437096.924897171,-246696.92489717097,-245863.59156383763
BLR,COK,Bangalore,Kochi,367.3,78,0.72,56,3000.0,400.0,190400.0,859.48,35542.06287826153,250000.0,285542.06287826155,-95142.06287826155,-1698.965408540385,44427.57859782691,294427.5785978269,-104027.57859782688,-103194.24526449355
BLR,DEL,Bangalore,Delhi,1710.0,78,0.72,56,3000.0,400.0,190400.0,4001.4,165469.83106189288,250000.0,415469.8310618929,-225069.8310618929,-4019.1041261052305,206837.2888273661,456837.2888273661,-266437.2888273661,-265603.95549403277
BLR,GAU,Bangalore,Guwahati,2039.4,78,0.72,56,3000.0,400.0,190400.0,4772.2,197344.7112994365,250000.0,447344.7112994365,-256944.71129943652,-4588.298416061366,246680.88912429562,496680.8891242956,-306280.8891242956,-305447.5557909623
BLR,GOI,Bangalore,Goa,482.9,78,0.72,56,3000.0,400.0,190400.0,1129.99,46728.45863988312,250000.0,296728.45863988315,-106328.45863988315,-1898.722475712199,58410.5732998539,308410.5732998539,-118010.57329985389,-117177.23996652056
BLR,JAI,Bangalore,Jaipur,1528.0,78,0.72,56,3000.0,400.0,190400.0,3575.52,147858.42214185515,250000.0,397858.4221418551,-207458.42214185512,-3704.6146811045555,184823.02767731895,434823.02767731895,-244423.02767731895,-243589.6943439856
BLR,LKO,Bangalore,Lucknow,1544.1,78,0.72,56,3000.0,400.0,190400.0,3613.19,149416.18905746008,250000.0,399416.18905746005,-209016.18905746005,-3732.4319474546437,186770.2363218251,436770.23632182507,-246370.23632182507,-245536.90298849173
BLR,MAA,Bangalore,Madras,267.8,78,0.72,56,3000.0,400.0,190400.0,626.65,25913.847562087063,250000.0,275913.84756208706,-85513.84756208706,-1527.032992180126,32392.309452608828,282392.3094526088,-91992.30945260881,-91158.97611927548
BLR,NAG,Bangalore,Nagpur,889.3,78,0.72,56,3000.0,400.0,190400.0,2080.96,86053.90604452357,250000.0,336053.9060445236,-145653.90604452358,-2600.962607937921,107567.38255565446,357567.38255565445,-167167.38255565445,-166334.0492223211
BLR,PNQ,Bangalore,Pune,722.7,78,0.72,56,3000.0,400.0,190400.0,1691.12,69932.85867581054,250000.0,319932.8586758105,-129532.85867581051,-2313.0867620680447,87416.07334476316,337416.07334476314,-147016.07334476314,-146182.7400114298
BLR,TRV,Bangalore,Trivandrum,531.3,78,0.72,56,3000.0,400.0,190400.0,1243.24,51411.684102910905,250000.0,301411.6841029109,-111011.68410291092,-1982.351501837695,64264.605128638636,314264.6051286386,-123864.60512863862,-123031.27179530529
BLR,VTZ,Bangalore,Vishakhapatnam,776.2,78,0.72,56,3000.0,400.0,190400.0,1816.31,75109.83877043701,250000.0,325109.838770437,-134709.838770437,-2405.532835186375,93887.29846304626,343887.29846304626,-153487.29846304626,-152653.96512971292
BOM,AMD,Mumbai,Ahmedabad,444.2,78,0.72,56,3000.0,400.0,190400.0,1039.43,42983.53238882974,250000.0,292983.53238882974,-102583.53238882974,-1831.848792657674,53729.41548603718,303729.41548603715,-113329.41548603715,-112496.08215270382
BOM,BBI,Mumbai,Bhubaneswar,1361.7,78,0.72,56,3000.0,400.0,190400.0,3186.38,131766.32186209684,250000.0,381766.32186209684,-191366.32186209684,-3417.2557475374438,164707.90232762104,414707.902327621,-224307.902327621,-223474.56899428766
BOM,BDQ,Mumbai,Baroda,363.0,78,0.72,56,3000.0,400.0,190400.0,849.42,35126.05185699831,250000.0,285126.0518569983,-94726.0518569983,-1691.536640303541,43907.564821247885,293907.5648212479,-103507.56482124788,-102674.23148791456
BOM,BLR,Mumbai,Bangalore,834.2,78,0.72,56,3000.0,400.0,190400.0,1952.03,80722.26578891058,250000.0,330722.26578891056,-140322.26578891056,-2505.7547462305456,100902.83223613822,350902.83223613823,-160502.83223613823,-159669.4989028049
BOM,CCU,Mumbai,Kolkata,1665.5,78,0.72,56,3000.0,400.0,190400.0,3897.27,161163.74481496058,250000.0,411163.7448149606,-220763.74481496058,-3942.2097288385817,201454.6810187007,451454.6810187007,-261054.6810187007,-260221.34768536736
BOM,CJB,Mumbai,Coimbatore,1001.8,78,0.72,56,3000.0,400.0,190400.0,2344.21,96940.07914070073,250000.0,346940.07914070075,-156540.07914070075,-2795.358556083942,121175.09892587591,371175.0989258759,-180775.0989258759,-179941.76559254256
BOM,COK,Mumbai,Kochi,1063.8,78,0.72,56,3000.0,400.0,190400.0,2489.29,102939.5700914828,250000.0,352939.57009148283,-162539.57009148283,-2902.4923230621935,128674.46261435351,378674.4626143535,-188274.4626143535,-187441.12928102017
BOM,DEL,Mumbai,Delhi,1138.2,78,0.72,56,3000.0,400.0,190400.0,2663.39,110139.12464435819,250000.0,360139.1246443582,-169739.12464435818,-3031.0557972206816,137673.90580544772,387673.9058054477,-197273.90580544772,-196440.57247211438
BOM,GAU,Mumbai,Guwahati,2071.1,78,0.72,56,3000.0,400.0,190400.0,4846.37,200411.86213910775,250000.0,450411.8621391078,-260011.86213910778,-4643.068966769782,250514.8276738847,500514.8276738847,-310114.8276738847,-309281.4943405514
BOM,GOI,Mumbai,Goa,424.8,78,0.72,56,3000.0,400.0,190400.0,994.03,41106.106905196524,250000.0,291106.1069051965,-100706.1069051965,-1798.3233375927946,51382.63363149566,301382.63363149564,-110982.63363149564,-110149.30029816231
BOM,IDR,Mumbai,Indore,506.0,78,0.72,56,3000.0,400.0,190400.0,1184.04,48963.58743702795,250000.0,298963.58743702795,-108563.58743702795,-1938.6354899469277,61204.484296284936,311204.48429628497,-120804.48429628497,-119971.15096295164
BOM,IXC,Mumbai,Chandigarh,1347.2,78,0.72,56,3000.0,400.0,190400.0,3152.45,130363.21510747843,250000.0,380363.21510747843,-189963.21510747843,-3392.2002697764005,162954.01888434804,412954.01888434804,-222554.01888434804,-221720.6855510147
BOM,IXJ,Mumbai,Jammu,1525.0,78,0.72,56,3000.0,400.0,190400.0,3568.5,147568.12419262377,250000.0,397568.12419262377,-207168.12419262377,-3699.430789153996,184460.1552407797,434460.15524077974,-244060.15524077974,-243226.8219074464
BOM,JAI,Mumbai,Jaipur,911.3,78,0.72,56,3000.0,400.0,190400.0,2132.44,88182.75767222044,250000.0,338182.75767222047,-147782.75767222047,-2638.9778155753656,110228.44709027554,360228.4470902755,-169828.44709027553,-168995.11375694218
BOM,LKO,Mumbai,Lucknow,1183.6,78,0.72,56,3000.0,400.0,190400.0,2769.62,114532.05215815458,250000.0,364532.05215815455,-174132.05215815455,-3109.500931395617,143165.0651976932,393165.0651976932,-202765.06519769318,-201931.73186435984
BOM,MAA,Mumbai,Madras,1033.4,78,0.72,56,3000.0,400.0,190400.0,2418.16,99998.13232384337,250000.0,349998.13232384337,-159598.13232384337,-2849.96664864006,124997.66540480421,374997.6654048042,-184597.66540480423,-183764.33207147088
BOM,NAG,Mumbai,Nagpur,682.6,78,0.72,56,3000.0,400.0,190400.0,1597.28,66052.29463651229,250000.0,316052.2946365123,-125652.29463651229,-2243.7909756520053,82565.36829564035,332565.36829564034,-142165.36829564034,-141332.034962307
BOM,PAT,Mumbai,Patina,1448.8,78,0.72,56,3000.0,400.0,190400.0,3390.19,140194.473576178,250000.0,390194.47357617796,-199794.47357617796,-3567.7584567174636,175243.09197022248,425243.0919702225,-234843.09197022248,-234009.75863688914
BOM,SXR,Mumbai,Srinagar,1667.3,78,0.72,56,3000.0,400.0,190400.0,3901.48,161337.840878531,250000.0,411337.840878531,-220937.840878531,-3945.3185871166247,201672.3010981637,451672.3010981637,-261272.3010981637,-260438.96776483036
BOM,TRV,Mumbai,Trivandrum,1257.7,78,0.72,56,3000.0,400.0,190400.0,2943.02,121702.65962207527,250000.0,371702.65962207527,-181302.65962207527,-3237.547493251344,152128.3245275941,402128.3245275941,-211728.3245275941,-210894.99119426074
CCU,AMD,Kolkata,Ahmedabad,1619.9,78,0.72,56,3000.0,400.0,190400.0,3790.57,156751.38139858033,250000.0,406751.3813985803,-216351.38139858033,-3863.4175249746486,195939.2267482254,445939.2267482254,-255539.2267482254,-254705.89341489205
CCU,BBI,Kolkata,Bhubaneswar,381.9,78,0.72,56,3000.0,400.0,190400.0,893.65,36955.09434909296,250000.0,286955.094349093,-96555.09434909298,-1724.1981133766603,46193.8679363662,296193.8679363662,-105793.86793636618,-104960.53460303285
CCU,BLR,Kolkata,Bangalore,1546.8,78,0.72,56,3000.0,400.0,190400.0,3619.51,149677.53991773678,250000.0,399677.5399177368,-209277.53991773678,-3737.0989271024423,187096.92489717097,437096.924897171,-246696.92489717097,-245863.59156383763
CCU,BOM,Kolkata,Mumbai,1665.5,78,0.72,56,3000.0,400.0,190400.0,3897.27,161163.74481496058,250000.0,411163.7448149606,-220763.74481496058,-3942.2097288385817,201454.6810187007,451454.6810187007,-261054.6810187007,-260221.34768536736
CCU,DEL,Kolkata,Delhi,1312.7,78,0.72,56,3000.0,400.0,190400.0,3071.72,127024.78869131743,250000.0,377024.78869131743,-186624.78869131743,-3332.585512344954,158780.9858641468,408780.9858641468,-218380.9858641468,-217547.65253081344
CCU,DIB,Kolkata,Mohanbari,851.9,78,0.72,56,3000.0,400.0,190400.0,1993.45,82435.10639534422,250000.0,332435.10639534425,-142035.10639534425,-2536.3411856311473,103043.88299418027,353043.88299418025,-162643.88299418025,-161810.5496608469
CCU,GAU,Kolkata,Guwahati,498.3,78,0.72,56,3000.0,400.0,190400.0,1166.02,48218.4066613656,250000.0,298218.4066613656,-107818.40666136559,-1925.3286903815283,60273.00832670701,310273.008326707,-119873.008326707,-119039.67499337367
CCU,IMF,Kolkata,Imphal,602.2,78,0.72,56,3000.0,400.0,190400.0,1409.15,58272.55771501634,250000.0,308272.55771501636,-117872.55771501636,-2104.8671020538636,72840.69714377042,322840.6971437704,-132440.6971437704,-131607.36381043706
CCU,IXA,Kolkata,Agartala,316.6,78,0.72,56,3000.0,400.0,190400.0,740.84,30635.944830282584,250000.0,280635.9448302826,-90235.94483028259,-1611.3561576836178,38294.931037853225,288294.93103785324,-97894.93103785324,-97061.59770451991
CCU,IXB,Kolkata,Baghdogra,447.9,78,0.72,56,3000.0,400.0,190400.0,1048.09,43341.64923218356,250000.0,293341.6492321836,-102941.64923218358,-1838.2437362889925,54177.06154022945,304177.0615402295,-113777.06154022948,-112943.72820689615
CCU,IXR,Kolkata,Ranchi,328.2,78,0.72,56,3000.0,400.0,190400.0,767.99,31758.67835188262,250000.0,281758.6783518826,-91358.67835188261,-1631.4049705693324,39698.34793985327,289698.34793985327,-99298.34793985327,-98465.01460651994
CCU,JAI,Kolkata,Jaipur,1356.7,78,0.72,56,3000.0,400.0,190400.0,3174.68,131282.49194671118,250000.0,381282.4919467112,-190882.4919467112,-3408.6159276198428,164103.11493338895,414103.11493338895,-223703.11493338895,-222869.7816000556
CCU,MAA,Kolkata,Madras,1385.7,78,0.72,56,3000.0,400.0,190400.0,3242.54,134088.70545594796,250000.0,384088.70545594796,-193688.70545594796,-3458.726883141928,167610.88181993493,417610.88181993493,-227210.88181993493,-226377.5484866016
CCU,NAG,Kolkata,Nagpur,985.2,78,0.72,56,3000.0,400.0,190400.0,2305.37,95333.92923355725,250000.0,345333.92923355725,-154933.92923355725,-2766.677307742094,119167.41154194655,369167.4115419466,-178767.41154194658,-177934.07820861324
CCU,PAT,Kolkata,Patina,472.0,78,0.72,56,3000.0,400.0,190400.0,1104.48,45673.544012405524,250000.0,295673.5440124055,-105273.5440124055,-1879.8847145072411,57091.9300155069,307091.9300155069,-116691.93001550692,-115858.5966821736
CCU,PNQ,Kolkata,Pune,1577.3,78,0.72,56,3000.0,400.0,190400.0,3690.88,152628.90240158924,250000.0,402628.9024015892,-212228.9024015892,-3789.8018285998073,190786.12800198657,440786.12800198654,-250386.12800198654,-249552.7946686532
CCU,RPR,Kolkata,Raipur,711.0,78,0.72,56,3000.0,400.0,190400.0,1663.74,68800.61396783967,250000.0,318800.6139678397,-128400.61396783969,-2292.868106568566,86000.7674597996,336000.7674597996,-145600.7674597996,-144767.43412646625
CJB,BOM,Coimbatore,Mumbai,1001.8,78,0.72,56,3000.0,400.0,190400.0,2344.21,96940.07914070073,250000.0,346940.07914070075,-156540.07914070075,-2795.358556083942,121175.09892587591,371175.0989258759,-180775.0989258759,-179941.76559254256
CJB,DEL,Coimbatore,Delhi,1950.0,78,0.72,56,3000.0,400.0,190400.0,4563.0,188693.66700040415,250000.0,438693.66700040415,-248293.66700040415,-4433.815482150074,235867.0837505052,485867.08375050523,-295467.08375050523,-294633.7504171719
CJB,MAA,Coimbatore,Madras,403.8,78,0.72,56,3000.0,400.0,190400.0,944.89,39074.02126057679,250000.0,289074.0212605768,-98674.02126057679,-1762.0360939388713,48842.526575720985,298842.526575721,-108442.52657572099,-107609.19324238766
COK,BLR,Kochi,Bangalore,367.3,78,0.72,56,3000.0,400.0,190400.0,859.48,35542.06287826153,250000.0,285542.06287826155,-95142.06287826155,-1698.965408540385,44427.57859782691,294427.5785978269,-104027.57859782688,-103194.24526449355
COK,BOM,Kochi,Mumbai,1063.8,78,0.72,56,3000.0,400.0,190400.0,2489.29,102939.5700914828,250000.0,352939.57009148283,-162539.57009148283,-2902.4923230621935,128674.46261435351,378674.4626143535,-188274.4626143535,-187441.12928102017
COK,DEL,Kochi,Delhi,2048.9,78,0.72,56,3000.0,400.0,190400.0,4794.43,198263.98813866926,250000.0,448263.9881386693,-257863.9881386693,-4604.714073904809,247829.98517333655,497829.9851733366,-307429.9851733366,-306596.65184000327
COK,MAA,Kochi,Madras,517.7,78,0.72,56,3000.0,400.0,190400.0,1211.42,50095.83214499882,250000.0,300095.8321449988,-109695.83214499883,-1958.8541454464078,62619.79018124852,312619.7901812485,-122219.7901812485,-121386.45684791518
COK,TRV,Kochi,Trivandrum,194.2,78,0.72,56,3000.0,400.0,190400.0,454.43,18792.036619547154,250000.0,268792.0366195472,-78392.03661954717,-1399.857796777628,23490.045774433944,273490.04577443394,-83090.04577443394,-82256.71244110061
DEL,AMD,Delhi,Ahmedabad,756.5,78,0.72,56,3000.0,400.0,190400.0,1770.21,73203.4661978491,250000.0,323203.46619784913,-132803.46619784913,-2371.4904678187345,91504.33274731137,341504.3327473114,-151104.3327473114,-150270.99941397805
DEL,BBI,Delhi,Bhubaneswar,1277.7,78,0.72,56,3000.0,400.0,190400.0,2989.82,123637.97928361788,250000.0,373637.97928361787,-183237.97928361787,-3272.1067729217475,154547.47410452235,404547.4741045224,-214147.47410452238,-213314.14077118904
DEL,BDQ,Delhi,Baroda,794.5,78,0.72,56,3000.0,400.0,190400.0,1859.13,76880.57355478006,250000.0,326880.57355478004,-136480.57355478004,-2437.1530991925006,96100.71694347507,346100.71694347507,-155700.71694347507,-154867.38361014173
DEL,BLR,Delhi,Bangalore,1710.0,78,0.72,56,3000.0,400.0,190400.0,4001.4,165469.83106189288,250000.0,415469.8310618929,-225069.8310618929,-4019.1041261052305,206837.2888273661,456837.2888273661,-266437.2888273661,-265603.95549403277
DEL,BOM,Delhi,Mumbai,1138.2,78,0.72,56,3000.0,400.0,190400.0,2663.39,110139.12464435819,250000.0,360139.1246443582,-169739.12464435818,-3031.0557972206816,137673.90580544772,387673.9058054477,-197273.90580544772,-196440.57247211438
DEL,CCU,Delhi,Kolkata,1312.7,78,0.72,56,3000.0,400.0,190400.0,3071.72,127024.78869131743,250000.0,377024.78869131743,-186624.78869131743,-3332.585512344954,158780.9858641468,408780.9858641468,-218380.9858641468,-217547.65253081344
DEL,CJB,Delhi,Coimbatore,1950.0,78,0.72,56,3000.0,400.0,190400.0,4563.0,188693.66700040415,250000.0,438693.66700040415,-248293.66700040415,-4433.815482150074,235867.0837505052,485867.08375050523,-295467.08375050523,-294633.7504171719
DEL,COK,Delhi,Kochi,2048.9,78,0.72,56,3000.0,400.0,190400.0,4794.43,198263.98813866926,250000.0,448263.9881386693,-257863.9881386693,-4604.714073904809,247829.98517333655,497829.9851733366,-307429.9851733366,-306596.65184000327
DEL,DIB,Delhi,Mohanbari,1760.8,78,0.72,56,3000.0,400.0,190400.0,4120.27,170385.46029624267,250000.0,420385.4602962427,-229985.46029624267,-4106.883219575762,212981.82537030333,462981.82537030336,-272581.82537030336,-271748.49203697004
DEL,GAU,Delhi,Guwahati,1455.5,78,0.72,56,3000.0,400.0,190400.0,3405.87,140842.8883687632,250000.0,390842.8883687632,-200442.8883687632,-3579.337292299343,176053.610460954,426053.610460954,-235653.61046095402,-234820.27712762068
DEL,GOI,Delhi,Goa,1504.2,78,0.72,56,3000.0,400.0,190400.0,3519.83,145555.4744505879,250000.0,395555.4744505879,-205155.47445058788,-3663.490615189069,181944.34306323488,431944.3430632349,-241544.34306323488,-240711.00972990153
DEL,IDR,Delhi,Indore,662.9,78,0.72,56,3000.0,400.0,190400.0,1551.19,64146.33559376659,250000.0,314146.3355937666,-123746.33559376659,-2209.755992745832,80182.91949220824,330182.9194922082,-139782.91949220822,-138949.58615887488
DEL,IXB,Delhi,Baghdogra,1125.2,78,0.72,56,3000.0,400.0,190400.0,2632.97,108881.16686435549,250000.0,358881.1668643555,-168481.1668643555,-3008.5922654349197,136101.45858044436,386101.45858044433,-195701.45858044433,-194868.125247111
DEL,IXJ,Delhi,Jammu,507.0,78,0.72,56,3000.0,400.0,190400.0,1186.38,49060.353420105086,250000.0,299060.35342010506,-108660.35342010506,-1940.3634539304476,61325.44177513136,311325.4417751314,-120925.44177513139,-120092.10844179806
DEL,IXR,Delhi,Ranchi,1007.7,78,0.72,56,3000.0,400.0,190400.0,2358.02,97511.16385279268,250000.0,347511.1638527927,-157111.1638527927,-2805.556497371298,121888.95481599084,371888.9548159909,-181488.95481599087,-180655.62148265753
DEL,LKO,Delhi,Lucknow,423.5,78,0.72,56,3000.0,400.0,190400.0,990.99,40980.3938331647,250000.0,290980.3938331647,-100580.39383316471,-1796.0784613065127,51225.49229145587,301225.49229145586,-110825.49229145586,-109992.15895812253
DEL,MAA,Delhi,Madras,1760.9,78,0.72,56,3000.0,400.0,190400.0,4120.51,170395.38501245572,250000.0,420395.38501245575,-229995.38501245575,-4107.060446650996,212994.23126556963,462994.23126556963,-272594.23126556963,-271760.8979322363
DEL,NAG,Delhi,Nagpur,853.9,78,0.72,56,3000.0,400.0,190400.0,1998.13,82628.63836149848,250000.0,332628.6383614985,-142228.63836149848,-2539.797113598187,103285.7979518731,353285.7979518731,-162885.7979518731,-162052.46461853976
DEL,PAT,Delhi,Patina,856.7,78,0.72,56,3000.0,400.0,190400.0,2004.68,82899.500408146,250000.0,332899.500408146,-142499.500408146,-2544.63393585975,103624.37551018251,353624.3755101825,-163224.37551018252,-162391.04217684918
DEL,PNQ,Delhi,Pune,1156.5,78,0.72,56,3000.0,400.0,190400.0,2706.21,111909.85942870124,250000.0,361909.8594287012,-171509.85942870122,-3062.6760612268076,139887.32428587653,389887.32428587653,-199487.32428587653,-198653.9909525432
DEL,RPR,Delhi,Raipur,944.8,78,0.72,56,3000.0,400.0,190400.0,2210.83,91424.4181053043,250000.0,341424.4181053043,-151024.4181053043,-2696.864609023291,114280.52263163037,364280.52263163036,-173880.52263163036,-173047.18929829702
DEL,SXR,Delhi,Srinagar,642.0,78,0.72,56,3000.0,400.0,190400.0,1502.28,62123.76113551768,250000.0,312123.7611355177,-121723.76113551768,-2173.6385917056728,77654.7014193971,327654.7014193971,-137254.70141939708,-136421.36808606374
DEL,VNS,Delhi,Varanasi,667.0,78,0.72,56,3000.0,400.0,190400.0,1560.78,64542.91071244593,250000.0,314542.9107124459,-124142.91071244591,-2216.837691293677,80678.63839055742,330678.63839055743,-140278.63839055743,-139445.3050572241
DIB,CCU,Mohanbari,Kolkata,851.9,78,0.72,56,3000.0,400.0,190400.0,1993.45,82435.10639534422,250000.0,332435.10639534425,-142035.10639534425,-2536.3411856311473,103043.88299418027,353043.88299418025,-162643.88299418025,-161810.5496608469
DIB,GAU,Mohanbari,Guwahati,373.4,78,0.72,56,3000.0,400.0,190400.0,873.76,36132.58349293735,250000.0,286132.5834929374,-95732.58349293738,-1709.510419516739,45165.72936617169,295165.7293661717,-104765.7293661717,-103932.39603283837
GAU,BLR,Guwahati,Bangalore,2039.4,78,0.72,56,3000.0,400.0,190400.0,4772.2,197344.7112994365,250000.0,447344.7112994365,-256944.71129943652,-4588.298416061366,246680.88912429562,496680.8891242956,-306280.8891242956,-305447.5557909623
GAU,BOM,Guwahati,Mumbai,2071.1,78,0.72,56,3000.0,400.0,190400.0,4846.37,200411.86213910775,250000.0,450411.8621391078,-260011.86213910778,-4643.068966769782,250514.8276738847,500514.8276738847,-310114.8276738847,-309281.4943405514
GAU,CCU,Guwahati,Kolkata,498.3,78,0.72,56,3000.0,400.0,190400.0,1166.02,48218.4066613656,250000.0,298218.4066613656,-107818.40666136559,-1925.3286903815283,60273.00832670701,310273.008326707,-119873.008326707,-119039.67499337367
GAU,DEL,Guwahati,Delhi,1455.5,78,0.72,56,3000.0,400.0,190400.0,3405.87,140842.8883687632,250000.0,390842.8883687632,-200442.8883687632,-3579.337292299343,176053.610460954,426053.610460954,-235653.61046095402,-234820.27712762068
GAU,IMF,Guwahati,Imphal,276.1,78,0.72,56,3000.0,400.0,190400.0,646.07,26716.922515658804,250000.0,276716.9225156588,-86316.92251565878,-1541.3736163510496,33396.1531445735,283396.1531445735,-92996.1531445735,-92162.81981124017
GAU,IXA,Guwahati,Agartala,249.2,78,0.72,56,3000.0,400.0,190400.0,583.13,24114.165688789322,250000.0,274114.16568878933,-83714.16568878933,-1494.895815871238,30142.707110986652,280142.70711098664,-89742.70711098664,-88909.37377765331
GAU,IXB,Guwahati,Baghdogra,330.7,78,0.72,56,3000.0,400.0,190400.0,773.84,32000.593309575448,250000.0,282000.59330957546,-91600.59330957546,-1635.724880528133,40000.74163696931,290000.7416369693,-99600.74163696932,-98767.408303636
GOI,AMD,Goa,Ahmedabad,865.0,78,0.72,56,3000.0,400.0,190400.0,2024.1,83702.57536171774,250000.0,333702.5753617177,-143302.57536171773,-2558.9745600306737,104628.21920214717,354628.21920214716,-164228.21920214716,-163394.8858688138
GOI,BLR,Goa,Bangalore,482.9,78,0.72,56,3000.0,400.0,190400.0,1129.99,46728.45863988312,250000.0,296728.45863988315,-106328.45863988315,-1898.722475712199,58410.5732998539,308410.5732998539,-118010.57329985389,-117177.23996652056
