date,price_inr_per_liter
2021-01-04,28.420699475089886
2021-01-05,29.80707505924061
2021-01-06,29.698764466728832
2021-01-07,29.893723533250025
2021-01-08,30.84685674735365
2021-01-11,30.586911325325392
2021-01-12,31.691679368945504
2021-01-13,31.670017250443145
2021-01-14,31.908300553969056
2021-01-15,31.04181581387485
2021-01-19,31.258436998898404
2021-01-20,31.236774880396045
2021-01-21,31.280099117400752
2021-01-22,30.78187039184659
2021-01-25,31.71334148744786
2021-01-26,30.52192496981833
2021-01-27,30.84685674735365
2021-01-28,30.71688403633952
2021-01-29,30.69522191783717
2021-02-01,31.496720302424308
2021-02-02,32.14658385749496
2021-02-03,32.60148834604441
2021-02-04,32.948082242082094
2021-02-05,33.07805495309623
2021-02-08,33.94453969319044
2021-02-09,33.98786393019514
2021-02-10,33.98786393019514
2021-02-11,33.66293215265981
2021-02-12,34.2478093522234
2021-02-16,35.35257739584351
2021-02-17,35.937454595407104
2021-02-18,35.179280447824674
2021-02-19,35.04930773681055
2021-02-22,36.19740001743536
2021-02-23,37.1938574685437
2021-02-24,37.99535585313083
2021-02-25,37.45380289057197
2021-02-26,36.43568332096127
2021-03-01,35.634184936374126
2021-03-02,35.43922586985293
2021-03-03,35.85080612139768
2021-03-04,37.23718170554841
2021-03-05,38.32028763066616
2021-03-08,37.04222263902721
2021-03-09,36.86892569100837
2021-03-10,37.30216806105548
2021-03-11,38.125328564144965
2021-03-12,38.125328564144965
2021-03-15,37.86538314211671
2021-03-16,37.4321407720696
2021-03-17,36.52233179497069
2021-03-18,34.204485115218695
2021-03-19,35.13595621081996
2021-03-22,35.37423951434587
2021-03-23,33.35966249362685
2021-03-24,35.634184936374126
2021-03-25,34.07451240420456
2021-03-26,34.74603807777758
2021-03-29,34.8760107887917
2021-03-30,34.39944418173989
2021-03-31,34.03118816719985
2021-04-01,35.179280447824674
2021-04-05,34.26947147072576
2021-04-06,34.57274112975873
2021-04-07,34.74603807777758
2021-04-08,34.8760107887917
2021-04-09,39.100123896750944
2021-04-12,35.15761832932232
2021-04-13,35.35257739584351
2021-04-14,36.73895297999424
2021-04-15,37.04222263902721
2021-04-16,36.803939335501305
2021-04-19,36.847263572506016
2021-04-20,36.43568332096127
2021-04-21,35.61252281787177
2021-04-22,35.980778832411815
2021-04-23,36.17573789893301
2021-04-26,36.24072425444008
2021-04-27,36.89058780951073
2021-04-28,37.34549229806018
2021-04-29,37.45380289057197
2021-04-30,36.58731815047776
2021-05-03,37.30216806105548
2021-05-04,38.16865280114968
2021-05-05,38.01701797163319
2021-05-06,37.88704526061906
2021-05-07,37.90870737912142
2021-05-10,37.88704526061906
2021-05-11,38.34194974916851
2021-05-12,39.20843448926272
2021-05-13,37.60543772008844
2021-05-14,38.45026034168029
2021-05-17,38.493584578685
2021-05-18,38.385273986173225
2021-05-19,37.64876195709316
2021-05-20,36.21906213593771
2021-05-21,36.803939335501305
2021-05-24,38.23363915665674
2021-05-25,37.90870737912142
2021-05-26,38.190314919652025
2021-05-27,38.40693610467558
2021-05-28,38.10366644564261
2021-06-01,38.9268269487321
2021-06-02,39.49004202979334
2021-06-03,39.38173143728156
2021-06-04,39.59835262230512
2021-06-07,39.62001474080747
2021-06-08,40.161567703366345
2021-06-09,39.40339355578392
2021-06-10,39.87996016283573
2021-06-11,39.46837991129098
2021-06-14,40.00993287384986
2021-06-15,40.1832298218687
2021-06-16,39.72832533331924
2021-06-17,39.5550283853004
2021-06-18,40.356526769887545
2021-06-21,41.13636303597232
2021-06-22,41.8728750650524
2021-06-23,42.00284777606653
2021-06-24,41.22301150998175
2021-06-25,40.768107021432286
2021-06-28,40.63813431041815
2021-06-29,40.811431258437
2021-06-30,40.78976913993464
2021-07-01,41.09303879896761
2021-07-02,41.89453718355475
2021-07-06,40.508161599404026
2021-07-07,39.79331168882631
2021-07-08,40.681458547422864
2021-07-09,41.20134939147939
2021-07-12,41.65625388002884
2021-07-13,42.32777955360185
2021-07-14,41.244673628484094
2021-07-15,40.3781888883899
2021-07-16,40.39985100689225
2021-07-19,37.84372102361435
2021-07-20,39.98827075534751
2021-07-21,39.83663592583102
2021-07-22,40.85475549544171
2021-07-23,40.94140396945113
2021-07-26,41.4396326950053
2021-07-27,41.13636303597232
2021-07-28,41.17968727297704
2021-07-29,42.02450989456888
2021-07-30,41.93786142055946
2021-08-02,40.876417613944064
2021-08-03,40.24821617737577
2021-08-04,38.75353000071326
2021-08-05,39.44671779278863
2021-08-06,39.07846177824859
2021-08-09,38.79685423771797
2021-08-10,39.338407200276855
2021-08-11,39.92328439984044
2021-08-12,39.81497380732866
2021-08-13,39.1217860152533
2021-08-16,38.8835027117274
2021-08-17,38.60189517119678
2021-08-18,37.73541043110257
2021-08-19,37.04222263902721
2021-08-20,35.634184936374126
2021-08-23,38.32028763066616
2021-08-24,39.901622281338085
2021-08-25,40.724782784427575
2021-08-26,39.901622281338085
2021-08-27,40.70312066592522
2021-08-30,41.54794328751706
2021-08-31,41.61292964302413
2021-09-01,41.30965998399117
2021-09-02,42.06783413157359
2021-09-03,42.21946896109009
2021-09-07,41.30965998399117
2021-09-08,41.50461905051236
2021-09-09,41.0063903249582
2021-09-10,41.634591761526494
2021-09-13,42.349441672104206
2021-09-14,42.56606285712776
2021-09-15,43.64916878224552
2021-09-16,43.800803611762
2021-09-17,43.77914149325965
2021-09-20,42.71769768664424
2021-09-21,43.08595370118428
2021-09-22,43.64916878224552
2021-09-23,44.47232928533501
2021-09-24,45.05720648489859
2021-09-27,45.81538063248103
2021-09-28,45.59875944745747
