src_iata,dst_iata,src_city,dst_city,distance_km,seats,load_factor,pax_onboard,avg_fare_inr,ancillary_inr,revenue_per_flight,fuel_liters_per_flight,fuel_cost_inr,fixed_cost_inr,total_cost_inr,margin_per_flight,margin_per_pax
BOM,BLR,Mumbai,Bangalore,834.2,78,0.72,56,3000.0,400.0,190400.0,1952.03,80722.26578891058,250000.0,330722.26578891056,-140322.26578891056,-2505.7547462305456
BOM,CCU,Mumbai,Kolkata,1665.5,78,0.72,56,3000.0,400.0,190400.0,3897.27,161163.74481496058,250000.0,411163.7448149606,-220763.74481496058,-3942.2097288385817
BOM,CJB,Mumbai,Coimbatore,1001.8,78,0.72,56,3000.0,400.0,190400.0,2344.21,96940.07914070073,250000.0,346940.07914070075,-156540.07914070075,-2795.358556083942
BOM,COK,Mumbai,Kochi,1063.8,78,0.72,56,3000.0,400.0,190400.0,2489.29,102939.5700914828,250000.0,352939.57009148283,-162539.57009148283,-2902.4923230621935
BOM,DEL,Mumbai,Delhi,1138.2,78,0.72,56,3000.0,400.0,190400.0,2663.39,110139.12464435819,250000.0,360139.1246443582,-169739.12464435818,-3031.0557972206816
BOM,GAU,Mumbai,Guwahati,2071.1,78,0.72,56,3000.0,400.0,190400.0,4846.37,200411.86213910775,250000.0,450411.8621391078,-260011.86213910778,-4643.068966769782
BOM,GOI,Mumbai,Goa,424.8,78,0.72,56,3000.0,400.0,190400.0,994.03,41106.106905196524,250000.0,291106.1069051965,-100706.1069051965,-1798.3233375927946
BOM,IDR,Mumbai,Indore,506.0,78,0.72,56,3000.0,400.0,190400.0,1184.04,48963.58743702795,250000.0,298963.58743702795,-108563.58743702795,-1938.6354899469277
BOM,IXC,Mumbai,Chandigarh,1347.2,78,0.72,56,3000.0,400.0,190400.0,3152.45,130363.21510747843,250000.0,380363.21510747843,-189963.21510747843,-3392.2002697764005
BOM,IXJ,Mumbai,Jammu,1525.0,78,0.72,56,3000.0,400.0,190400.0,3568.5,147568.12419262377,250000.0,397568.12419262377,-207168.12419262377,-3699.430789153996
